# Dynamical information [code units]
#1:t #2:Dt #3:tcount #4:N #5:M #6:VR #7:N_c #8:r_c #9:r_max #10:Etot #11:KE #12:PE #13:Etot_int #14:Etot_bin #15:E_cenma #16:Eesc #17:Ebesc #18:Eintesc #19:Eoops #20:Etot+Eoops #21:r_h #22:rho_0 #23:rc_spitzer #24:v0_rms #25:rc_nb #26.DMse(MSUN) #27.DMrejuv(MSUN) #28.N_c_nb
3.9157376e-05 2.7890934e-06 17 399943 0.99788768 1.0038922 52881.941 0.35824794 7.9287432 -1.2011983 0.25062631 -0.49930919 0 -0.9525888 0 7.4100975e-05 -6.9559537e-07 0 0 -1.2011983 0.81180145 7.5067149 0.14814277 0.83071058 0.28758627 0 0 27356.513
4.0219766e-05 1.0623899e-06 18 399942 0.997819 0.99668444 40691.297 0.36057596 7.7311312 -1.199975 0.24699132 -0.49562592 0 -0.9514148 0 7.5089881e-05 -6.9559537e-07 0 0 -1.199975 0.81449489 6.6001867 0.15791063 0.83029761 0.30637219 0 0 24960.844
4.2763237e-05 2.5434708e-06 19 399939 0.99765705 1.0043252 40421.196 0.36105944 7.1005594 -1.1969822 0.2506701 -0.49918114 0 -0.94854584 0 7.5414872e-05 -6.9559537e-07 0 0 -1.1969822 0.80967684 6.0201144 0.16542774 0.83072067 0.31597785 0 0 27092.118
4.4212748e-05 1.4495112e-06 20 399936 0.99755788 0.99442818 41936.649 0.35868794 7.9141907 -1.1952262 0.24568095 -0.49411502 0 -0.94686683 0 7.5414952e-05 -7.2098379e-07 0 0 -1.1952262 0.81754705 6.8649792 0.1550111 0.83124051 0.29454144 0 0 23221.091
4.589331e-05 1.6805614e-06 21 399935 0.9974453 1.0002891 41909.834 0.36175706 7.5951506 -1.193153 0.24849295 -0.49684226 0 -0.94487832 0 7.5333056e-05 -7.2098379e-07 0 0 -1.193153 0.81144219 6.1509662 0.16383839 0.83163288 0.32050817 0 0 29146.216
4.7824589e-05 1.9312795e-06 22 399934 0.997312 1.0029155 41813.936 0.35950686 7.727445 -1.1907076 0.24970043 -0.49794908 0 -0.94253455 0 7.6373693e-05 -7.2098379e-07 0 0 -1.1907076 0.81899145 6.4920656 0.15919547 0.83016892 0.30524335 0 0 25593.999
5.035564e-05 2.5310507e-06 23 399931 0.99712704 1.0025149 45268.601 0.35768544 8.1498856 -1.1873973 0.24936126 -0.49747144 0 -0.93936228 0 7.5967916e-05 -7.9511232e-07 0 0 -1.1873973 0.81270876 7.5911259 0.14856862 0.83776937 0.3090489 0 0 29199.467
5.2995974e-05 2.6403346e-06 24 399927 0.99692873 1.0011253 43900.538 0.35513131 7.7812993 -1.1838031 0.24851384 -0.49646901 0 -0.9359238 0 7.6707639e-05 -7.9511232e-07 0 0 -1.1838031 0.8143723 7.2393026 0.15178693 0.83584751 0.29023196 0 0 23962.86
5.5816672e-05 2.8206979e-06 25 399920 0.99670469 0.99646456 40830.892 0.35770169 11.050176 -1.1798009 0.24603885 -0.49382358 0 -0.93209352 0 7.8106618e-05 -7.9511232e-07 0 0 -1.1798009 0.81669895 6.0419149 0.16578123 0.83400174 0.30636486 0 0 25653.272
5.7991636e-05 2.1749637e-06 26 399916 0.99652594 0.99988164 44624.829 0.36064495 8.0916749 -1.176593 0.24759221 -0.49524304 0 -0.92902284 0 8.151879e-05 -7.9511232e-07 0 0 -1.176593 0.81388136 6.8309454 0.15515958 0.82997172 0.30236056 0 0 26297.377
6.0246815e-05 2.2551785e-06 27 399912 0.99633316 0.99914856 51508.738 0.35763411 7.173215 -1.1731407 0.24707993 -0.49458097 0 -0.92572207 0 8.320064e-05 -7.9511232e-07 0 0 -1.1731407 0.81616743 8.6356443 0.13840944 0.83244851 0.27688962 0 0 23904.747
6.1622323e-05 1.3755089e-06 28 399908 0.99620949 1.0041991 38987.922 0.36160467 7.3102663 -1.1709744 0.24949699 -0.49690739 0 -0.92364752 0 8.4293224e-05 -7.9511232e-07 0 0 -1.1709744 0.80897074 5.7156165 0.1693777 0.8287663 0.31240741 0 0 25141.547
