# Ejected BHs
#1:tcount  #2:TotalTime  #3:Nbh,tot  #4:Nbh,single  #5:Nbinarybh  #6:Nbh-bh  #7:Nbh-nonbh  #8:Nbh-ns  #9:N_bh-wd  #10:N_bh-star  #11:Nbh-ms  #12:Nbh-postms #13:fb_bh [(# binaries containing a bh)/(total # systems containing a bh)]
1 0 0 0 0 0 0 0 0 0 0 0 0
1 1.454819e-06 0 0 0 0 0 0 0 0 0 0 0
2 4.4323088e-06 0 0 0 0 0 0 0 0 0 0 0
3 7.1527316e-06 0 0 0 0 0 0 0 0 0 0 0
4 9.8640153e-06 0 0 0 0 0 0 0 0 0 0 0
5 1.1919893e-05 0 0 0 0 0 0 0 0 0 0 0
6 1.4537658e-05 0 0 0 0 0 0 0 0 0 0 0
7 1.6923427e-05 0 0 0 0 0 0 0 0 0 0 0
8 1.7632166e-05 0 0 0 0 0 0 0 0 0 0 0
9 2.0720099e-05 0 0 0 0 0 0 0 0 0 0 0
10 2.247878e-05 0 0 0 0 0 0 0 0 0 0 0
11 2.5013463e-05 0 0 0 0 0 0 0 0 0 0 0
12 2.6541441e-05 0 0 0 0 0 0 0 0 0 0 0
13 2.9310466e-05 0 0 0 0 0 0 0 0 0 0 0
14 3.1287003e-05 0 0 0 0 0 0 0 0 0 0 0
15 3.2485374e-05 0 0 0 0 0 0 0 0 0 0 0
16 3.6368283e-05 0 0 0 0 0 0 0 0 0 0 0
17 3.9157376e-05 0 0 0 0 0 0 0 0 0 0 0
18 4.0219766e-05 0 0 0 0 0 0 0 0 0 0 0
19 4.2763237e-05 0 0 0 0 0 0 0 0 0 0 0
20 4.4212748e-05 0 0 0 0 0 0 0 0 0 0 0
21 4.589331e-05 0 0 0 0 0 0 0 0 0 0 0
22 4.7824589e-05 0 0 0 0 0 0 0 0 0 0 0
23 5.035564e-05 0 0 0 0 0 0 0 0 0 0 0
24 5.2995974e-05 0 0 0 0 0 0 0 0 0 0 0
25 5.5816672e-05 0 0 0 0 0 0 0 0 0 0 0
26 5.7991636e-05 0 0 0 0 0 0 0 0 0 0 0
27 6.0246815e-05 0 0 0 0 0 0 0 0 0 0 0
28 6.1622323e-05 0 0 0 0 0 0 0 0 0 0 0
29 6.239667e-05 0 0 0 0 0 0 0 0 0 0 0
30 6.4624969e-05 0 0 0 0 0 0 0 0 0 0 0
31 6.7683464e-05 0 0 0 0 0 0 0 0 0 0 0
32 6.9283687e-05 0 0 0 0 0 0 0 0 0 0 0
33 7.1905006e-05 0 0 0 0 0 0 0 0 0 0 0
34 7.4478677e-05 0 0 0 0 0 0 0 0 0 0 0
35 7.6498719e-05 0 0 0 0 0 0 0 0 0 0 0
36 8.1042208e-05 0 0 0 0 0 0 0 0 0 0 0
37 8.2137298e-05 0 0 0 0 0 0 0 0 0 0 0
38 8.430227e-05 0 0 0 0 0 0 0 0 0 0 0
39 8.76539e-05 0 0 0 0 0 0 0 0 0 0 0
40 8.8694691e-05 0 0 0 0 0 0 0 0 0 0 0
41 9.2501903e-05 0 0 0 0 0 0 0 0 0 0 0
42 9.5532614e-05 0 0 0 0 0 0 0 0 0 0 0
43 9.8739196e-05 0 0 0 0 0 0 0 0 0 0 0
44 0.00010044942 0 0 0 0 0 0 0 0 0 0 0
45 0.00010331757 0 0 0 0 0 0 0 0 0 0 0
46 0.00010687085 0 0 0 0 0 0 0 0 0 0 0
47 0.00011017604 0 0 0 0 0 0 0 0 0 0 0
48 0.00011388132 0 0 0 0 0 0 0 0 0 0 0
49 0.00011647513 0 0 0 0 0 0 0 0 0 0 0
50 0.00011782332 0 0 0 0 0 0 0 0 0 0 0
51 0.00012046167 0 0 0 0 0 0 0 0 0 0 0
52 0.00012277126 0 0 0 0 0 0 0 0 0 0 0
53 0.00012496989 0 0 0 0 0 0 0 0 0 0 0
54 0.00012961023 0 0 0 0 0 0 0 0 0 0 0
55 0.0001323064 0 0 0 0 0 0 0 0 0 0 0
56 0.00013632478 0 0 0 0 0 0 0 0 0 0 0
57 0.00013988478 0 0 0 0 0 0 0 0 0 0 0
58 0.0001427502 0 0 0 0 0 0 0 0 0 0 0
59 0.00014436297 0 0 0 0 0 0 0 0 0 0 0
60 0.00014705938 0 0 0 0 0 0 0 0 0 0 0
61 0.00014893616 0 0 0 0 0 0 0 0 0 0 0
62 0.00015395279 0 0 0 0 0 0 0 0 0 0 0
63 0.00016205475 0 0 0 0 0 0 0 0 0 0 0
64 0.00017002063 0 0 0 0 0 0 0 0 0 0 0
65 0.00017582728 0 0 0 0 0 0 0 0 0 0 0
66 0.0001898076 3 2 1 0 1 0 0 1 1 0 0.333333
67 0.00021168452 48 35 11 2 9 0 0 9 8 1 0.23913
68 0.0002299503 104 89 13 2 11 0 0 11 9 2 0.127451
69 0.00027091699 240 219 17 4 13 0 0 13 11 2 0.0720339
70 0.00030369035 345 322 19 4 15 0 0 15 13 2 0.0557185
71 0.00033212069 422 392 23 7 16 0 0 16 14 2 0.0554217
