#1:tcount #2:t #3:r #4:vr #5:vt #6:E #7:J #8:r_peri #9:r_apo #10:Rtidal #11:phi_zero #12:phi_tidal #13:Ecrit #14:id0 #15:id1 #16:st0 #17:st1 #18:m0 #19:m1 #20:a #21:e #22:eta #23:rad0 #24:rad1 #25:lum0 #26:lum1 #27:massc0 #28:massc1 #29:menv0 #30:menv1 #31:radc0 #32:radc1 #33:renv0 #34:renv1 #35:radrol0 #36:radrol1 #37:tms0 #38:tms1 #39:dmdt0 #40:dmdt1 #41:bacc0 #42:bacc1 #43:tacc0 #44:tacc1 #45:mass0_0 #46:mass0_1 #47:ospin0 #48:ospin1 #49:B0 #50:B1 #51:epoch0 #52:epoch1 $53:formation0 #54:formation1 #55:bhspin0 #56:bhspin1
3 7.1527316e-06 0.41323722 1.0966309 1.6218522 0.55018191 0.67020969 0.41323722 0.41323722 11.210503 -1.6672293 -0.089182842 -0.11571997118076 -100 0 -100 0.11287493 -100 -100 -100 -100 0.13642028 -100 0.0017955954 -100 0 -100 0.056437466 -100 0 -100 0.088673184 -100 -100 -100 2094257.8 -100 -100 -100 0 -100 0 -100 0.11287493 -100 0.00017007542 -100 0.00017007542 -100 0 -100 0 -100 0 -100
3 7.1527316e-06 0.44243784 -1.9963005 2.0568619 2.772585 0.91003353 0.44243784 0.44243784 11.210503 -1.6672293 -0.089182842 -0.11571997205712 -100 0 -100 0.12300975 -100 -100 -100 -100 0.14182791 -100 0.0023674585 -100 0 -100 0.061504873 -100 0 -100 0.092188144 -100 -100 -100 1763458.7 -100 -100 -100 0 -100 0 -100 0.12300975 -100 0.00032073536 -100 0.00032073536 -100 0 -100 0 -100 0 -100
3 7.1527316e-06 0.57813003 -2.4780381 0.5647882 2.0306564 0.32652102 0.57813003 0.57813003 11.210503 -1.6672293 -0.089182842 -0.11571978121807 406616 0 0 0.31628565 0.22639377 1.371859 0.46355526 inf 0.30622437 0.24120272 0.017334563 0.0099212169 0 0 0.31628565 0.11319688 0 0 0.30622437 0.15678177 0.0047426257 0.0043518907 261079.35 519564.39 0 0 0 0 0 0 0.31628565 0.22639377 0.24169233 0.022381465 0.24169233 0.022381465 0 0 0 0 0 0
3 7.1527316e-06 1.050116 0.4414513 1.6196699 0.56582276 1.7008413 1.050116 1.050116 11.210503 -1.6672293 -0.089182842 -0.11571991256303 -100 0 -100 0.23744035 -100 -100 -100 -100 0.24973333 -100 0.01078 -100 0 -100 0.11872017 -100 0 -100 0.16232666 -100 -100 -100 471892.54 -100 -100 -100 0 -100 0 -100 0.23744035 -100 0.03139043 -100 0.03139043 -100 0 -100 0 -100 0 -100
4 9.8640153e-06 0.25893627 2.3125747 0.92310089 1.5765997 0.2390243 0.25893627 0.25893627 11.210037 -1.6563369 -0.089175429 -0.1157101845238 -100 0 -100 0.49511859 -100 -100 -100 -100 0.4415177 -100 0.053398779 -100 0 -100 0.15388799 -100 0 -100 0.17613517 -100 -100 -100 86185.993 -100 -100 -100 0 -100 0 -100 0.49511859 -100 5.6007183 -100 5.6007183 -100 0 -100 0 -100 0 -100
4 9.8640153e-06 0.33538031 1.2771668 1.5348594 0.54628969 0.51476161 0.32640577 0.80055872 11.210037 -1.6563369 -0.089175429 -0.11571024180011 -100 0 -100 0.35886922 -100 -100 -100 -100 0.33585497 -100 0.021873664 -100 0 -100 0.34531899 -100 0 -100 0.31818007 -100 -100 -100 198000.57 -100 -100 -100 0 -100 0 -100 0.35886922 -100 0.59248293 -100 0.59248293 -100 0 -100 0 -100 0 -100
4 9.8640153e-06 0.32269305 -0.72314657 1.8905557 0.58847051 0.6100692 0.32269305 0.32269305 11.210037 -1.6563369 -0.089175429 -0.1157103240649 -100 0 -100 0.18621295 -100 -100 -100 -100 0.20767055 -100 0.0068226053 -100 0 -100 0.093106476 -100 0 -100 0.13498586 -100 -100 -100 769342.69 -100 -100 -100 0 -100 0 -100 0.18621295 -100 0.0056296903 -100 0.0056296903 -100 0 -100 0 -100 0 -100
4 9.8640153e-06 1.0905317 0.6494921 0.99542389 -0.11338036 1.0855414 0.81710292 8.1818489 11.210022 -1.6563369 -0.089175551 -0.11571031232620 -100 0 -100 0.55218608 -100 -100 -100 -100 0.49406457 -100 0.082165629 -100 0 -100 0.11752309 -100 0 -100 0.1815372 -100 -100 -100 60749.546 -100 -100 -100 0 -100 0 -100 0.55218608 -100 11.756463 -100 11.756463 -100 0 -100 0 -100 0 -100
5 1.1919893e-05 0.17803473 -1.1543092 1.6172878 0.37051298 0.28793339 0.10375768 0.59020171 11.209565 -1.6689303 -0.089167918 -0.1157005428739 -100 0 -100 0.26227983 -100 -100 -100 -100 0.2681735 -100 0.012732969 -100 0 -100 0.13113991 -100 0 -100 0.17431278 -100 -100 -100 385479.19 -100 -100 -100 0 -100 0 -100 0.26227983 -100 0.063708124 -100 0.063708124 -100 0 -100 0 -100 0 -100
5 1.1919893e-05 0.34076436 0.88935367 1.8486338 0.65928798 0.62994852 0.34076436 0.34076436 11.209565 -1.6689303 -0.089167918 -0.1157006113681 -100 0 -100 0.12293649 -100 -100 -100 -100 0.14173829 -100 0.002363103 -100 0 -100 0.061468247 -100 0 -100 0.09212989 -100 -100 -100 1765560.3 -100 -100 -100 0 -100 0 -100 0.12293649 -100 0.00031944471 -100 0.00031944471 -100 0 -100 0 -100 0 -100
5 1.1919893e-05 0.40506544 -0.34235589 1.6496433 0.041935569 0.66821349 0.40206638 2.4586352 11.209565 -1.6689303 -0.089167918 -0.11570022349181 -100 1 -100 0.96288726 -100 -100 -100 -100 0.89161063 -100 1.1010279 -100 0 -100 0.037024074 -100 0 -100 0.24191115 -100 -100 -100 7601.2627 -100 -100 -100 0 -100 0 -100 0.96288726 -100 492.68247 -100 492.68247 -100 0 -100 0 -100 0 -100
5 1.1919893e-05 0.71552936 0.81590273 1.1621033 -0.071899657 0.83151901 0.54529314 13.547641 11.209565 -1.6689303 -0.089167918 -0.1157003128275 -100 1 -100 0.78364124 -100 -100 -100 -100 0.72928622 -100 0.41572484 -100 0 -100 0.05752458 -100 0 -100 0.22820087 -100 -100 -100 16356.742 -100 -100 -100 0 -100 0 -100 0.78364124 -100 122.82749 -100 122.82749 -100 0 -100 0 -100 0 -100
6 1.4537658e-05 0.11470977 0.75121033 1.7569971 0.17898754 0.20154474 0.09355628 1.3995972 11.209187 -1.6779524 -0.089161901 -0.11569277305164 -100 0 -100 0.16677573 -100 -100 -100 -100 0.18952934 -100 0.0053570555 -100 0 -100 0.083387865 -100 0 -100 0.12319407 -100 -100 -100 959365.39 -100 -100 -100 0 -100 0 -100 0.16677573 -100 0.0026019911 -100 0.0026019911 -100 0 -100 0 -100 0 -100
